timestamp,session_id,activity,left_ear,right_ear,average_ear,eye_diff,ear_change,ear_rolling_mean,ear_rolling_std
0.051,paper_001,paper_study,0.21453,0.27443,0.24448,0.05990000000000001,0.0,0.24448,0.0
0.211,paper_001,paper_study,0.23373,0.26065,0.24719,0.02692,0.00270999999999999,0.245835,0.0019162593770155369
0.281,paper_001,paper_study,0.2341,0.23565,0.23487,0.0015499999999999958,0.012319999999999998,0.24217999999999998,0.006474032746287283
0.346,paper_001,paper_study,0.22803,0.24603,0.23703,0.017999999999999988,0.0021599999999999953,0.2408925,0.005879854731765638
0.41,paper_001,paper_study,0.23262,0.26292,0.24777,0.030299999999999994,0.01074,0.24226799999999998,0.005948909143700214
0.443,paper_001,paper_study,0.23902,0.26368,0.25135,0.024660000000000015,0.0035800000000000276,0.24378166666666667,0.006485270747367969
0.476,paper_001,paper_study,0.23157,0.26078,0.24617,0.029210000000000014,0.005180000000000018,0.24412285714285714,0.005988641232326732
0.509,paper_001,paper_study,0.23111,0.26835,0.24973,0.03723999999999997,0.0035600000000000076,0.24482375,0.005888159881127067
0.542,paper_001,paper_study,0.23469,0.26894,0.25181,0.03425,0.0020799999999999708,0.24559999999999998,0.005979941471285482
0.609,paper_001,paper_study,0.2364,0.29503,0.26572,0.058630000000000015,0.013910000000000033,0.247612,0.008501049346992405
0.641,paper_001,paper_study,0.25082,0.30244,0.27663,0.05162,0.010909999999999975,0.25025,0.011899182324849048
0.675,paper_001,paper_study,0.25615,0.28318,0.26967,0.02703,0.006959999999999966,0.2518683333333333,0.012654908378198803
0.708,paper_001,paper_study,0.25933,0.30246,0.28089,0.04313,0.011219999999999952,0.2541007692307692,0.014546138927299846
0.741,paper_001,paper_study,0.25672,0.30141,0.27906,0.04469000000000001,0.0018299999999999983,0.25588357142857143,0.015485843961076629
0.775,paper_001,paper_study,0.26078,0.31269,0.28674,0.05191000000000001,0.00768000000000002,0.25794066666666665,0.016916163642532928
0.822,paper_001,paper_study,0.26563,0.32745,0.29654,0.06182000000000004,0.009800000000000031,0.26141133333333333,0.019150211437350743
0.876,paper_001,paper_study,0.26119,0.3144,0.2878,0.053210000000000035,0.008740000000000026,0.26411866666666667,0.019853749148160824
0.909,paper_001,paper_study,0.26838,0.32935,0.29886,0.06096999999999997,0.011060000000000014,0.26838466666666666,0.019994451682785398
0.942,paper_001,paper_study,0.27069,0.30473,0.28771,0.034040000000000015,0.011149999999999993,0.27176333333333336,0.018547267671957503
0.976,paper_001,paper_study,0.27426,0.30662,0.29044,0.03236,0.0027299999999999547,0.274608,0.017864113747958557
1.01,paper_001,paper_study,0.28293,0.31623,0.29958,0.033299999999999996,0.009140000000000037,0.2778233333333333,0.01771876030276015
1.044,paper_001,paper_study,0.28155,0.29896,0.29026,0.01740999999999998,0.009319999999999995,0.28076266666666666,0.015626224508209108
1.076,paper_001,paper_study,0.26279,0.30555,0.28417,0.042759999999999965,0.00609000000000004,0.2830586666666666,0.01306033737623019
1.11,paper_001,paper_study,0.2649,0.29056,0.27773,0.02565999999999996,0.006440000000000001,0.28478666666666663,0.009982626097852549
1.143,paper_001,paper_study,0.26757,0.28596,0.27676,0.018390000000000017,0.0009699999999999709,0.2855226666666667,0.00881518046705056
1.176,paper_001,paper_study,0.2674,0.29019,0.2788,0.022789999999999977,0.0020399999999999863,0.28566733333333333,0.00867551765986732
1.211,paper_001,paper_study,0.2647,0.29519,0.27995,0.030490000000000017,0.0011499999999999844,0.28635266666666664,0.0076691985674299645
1.276,paper_001,paper_study,0.27349,0.31252,0.29301,0.03903000000000001,0.013060000000000016,0.2871606666666667,0.007690991452590008
1.31,paper_001,paper_study,0.26663,0.27989,0.27326,0.01326000000000005,0.01974999999999999,0.28677400000000003,0.008252635769429075
1.381,paper_001,paper_study,0.2553,0.26509,0.2602,0.009789999999999965,0.013060000000000016,0.28500466666666663,0.010732800770579682
1.445,paper_001,paper_study,0.23039,0.26202,0.24621,0.031629999999999964,0.013989999999999975,0.2816493333333333,0.014181956578023923
1.511,paper_001,paper_study,0.24284,0.26229,0.25256,0.019450000000000023,0.0063499999999999945,0.2793,0.01590453349565115
1.544,paper_001,paper_study,0.2544,0.25163,0.25301,0.0027699999999999947,0.00045000000000000595,0.27624333333333334,0.01627833997620629
1.576,paper_001,paper_study,0.24951,0.25453,0.25202,0.005019999999999969,0.0009899999999999909,0.27386399999999994,0.017071588678269023
1.61,paper_001,paper_study,0.24089,0.25881,0.24985,0.01791999999999999,0.002170000000000033,0.271158,0.0174687881663269
1.643,paper_001,paper_study,0.22538,0.26438,0.24488,0.03900000000000001,0.004970000000000002,0.2675113333333333,0.016808735767309808
1.677,paper_001,paper_study,0.22909,0.26566,0.24737,0.03657000000000002,0.00249000000000002,0.264652,0.0163029467976104
1.71,paper_001,paper_study,0.22724,0.27705,0.25215,0.04981000000000002,0.004779999999999979,0.2625173333333333,0.015647913355490973
1.744,paper_001,paper_study,0.23872,0.26383,0.25127,0.02511000000000002,0.0008799999999999919,0.26075333333333334,0.015297998312882389
1.776,paper_001,paper_study,0.2508,0.26574,0.25827,0.014939999999999953,0.007000000000000006,0.2595206666666667,0.014647194010490614
1.81,paper_001,paper_study,0.24788,0.2806,0.26424,0.03272000000000003,0.005969999999999975,0.25855,0.013732158814778003
1.843,paper_001,paper_study,0.24683,0.26802,0.25743,0.021189999999999987,0.006809999999999983,0.25704866666666665,0.01239093843250359
1.877,paper_001,paper_study,0.24217,0.27397,0.25807,0.031799999999999995,0.0006400000000000294,0.2547193333333333,0.007444718613761967
1.909,paper_001,paper_study,0.24214,0.27213,0.25714,0.02998999999999999,0.0009300000000000419,0.2536446666666667,0.005481875157105797
1.943,paper_001,paper_study,0.26084,0.26031,0.26057,0.0005300000000000304,0.003430000000000044,0.25366933333333336,0.005514216000052646
1.977,paper_001,paper_study,0.26421,0.25997,0.26209,0.0042400000000000215,0.0015199999999999658,0.254728,0.005504196061707195
2.011,paper_001,paper_study,0.26416,0.2831,0.27363,0.018940000000000012,0.011539999999999995,0.2561326666666667,0.007305259814159928
2.044,paper_001,paper_study,0.24287,0.29191,0.26739,0.04904,0.006239999999999968,0.2570913333333333,0.007793433010890472
2.083,paper_001,paper_study,0.24074,0.27279,0.25676,0.03204999999999997,0.010630000000000028,0.2574073333333333,0.007668208457806834
2.147,paper_001,paper_study,0.2401,0.26998,0.25504,0.02987999999999999,0.0017199999999999993,0.25775333333333333,0.007415789782298137
2.21,paper_001,paper_study,0.24374,0.25603,0.24989,0.012289999999999968,0.005149999999999988,0.25808733333333334,0.006888660938368859
2.243,paper_001,paper_study,0.24668,0.26712,0.2569,0.020440000000000014,0.007010000000000016,0.25872266666666666,0.006238388604515747
2.277,paper_001,paper_study,0.24887,0.2659,0.25738,0.017030000000000017,0.00047999999999998044,0.2590713333333333,0.005985841469270438
2.344,paper_001,paper_study,0.25116,0.2807,0.26593,0.02954000000000001,0.008550000000000002,0.26004866666666665,0.005815477951941999
2.409,paper_001,paper_study,0.23174,0.2723,0.25202,0.040559999999999985,0.013909999999999978,0.259632,0.006165390961997898
2.443,paper_001,paper_study,0.22395,0.27369,0.24882,0.04973999999999998,0.0032000000000000084,0.258604,0.0066115837739530725
2.477,paper_001,paper_study,0.23207,0.27727,0.25467,0.04520000000000002,0.005849999999999994,0.25842,0.006684592091412232
2.509,paper_001,paper_study,0.24471,0.27562,0.26017,0.030909999999999965,0.005500000000000005,0.25856,0.006698714162327795
2.543,paper_001,paper_study,0.23426,0.26034,0.2473,0.02608000000000002,0.01287000000000002,0.257904,0.007302323309350608
2.577,paper_001,paper_study,0.22939,0.26319,0.24629,0.03379999999999997,0.0010099999999999831,0.256952,0.007840908475061107
2.61,paper_001,paper_study,0.23315,0.25959,0.24637,0.02643999999999999,7.999999999999674e-05,0.255904,0.008149596659607456
2.643,paper_001,paper_study,0.23229,0.26956,0.25093,0.037270000000000025,0.004559999999999981,0.25439066666666665,0.006579187386498871
2.677,paper_001,paper_study,0.23853,0.28161,0.26007,0.043080000000000035,0.009140000000000037,0.25390266666666667,0.0057675192323248655
2.71,paper_001,paper_study,0.24112,0.27301,0.25706,0.031889999999999974,0.0030100000000000127,0.2539226666666667,0.005778644757907719
2.743,paper_001,paper_study,0.24795,0.27559,0.26177,0.027639999999999998,0.004709999999999992,0.25437133333333334,0.0061226218318002675
2.777,paper_001,paper_study,0.24981,0.26989,0.25985,0.020080000000000015,0.0019199999999999773,0.25503533333333334,0.006141957420267599
2.811,paper_001,paper_study,0.2515,0.27745,0.26447,0.025949999999999973,0.0046199999999999575,0.25554,0.0066000357141890315
