4.665,normal_study,0.24485,0.27002,0.25743
4.701,normal_study,0.23556,0.27910,0.25733
4.736,normal_study,0.23796,0.27652,0.25724
4.771,normal_study,0.23875,0.26464,0.25169
4.807,normal_study,0.23710,0.26517,0.25113
4.841,normal_study,0.22817,0.26589,0.24703
4.878,normal_study,0.24181,0.26198,0.25189
4.912,normal_study,0.23207,0.25705,0.24456
4.949,normal_study,0.22984,0.24896,0.23940
4.985,normal_study,0.22325,0.25284,0.23805
5.018,normal_study,0.22763,0.25167,0.23965
5.053,normal_study,0.22594,0.26311,0.24453
5.090,normal_study,0.22311,0.26690,0.24500
5.125,normal_study,0.21967,0.25900,0.23933
5.160,normal_study,0.22645,0.24808,0.23726
5.196,normal_study,0.22404,0.25047,0.23725
5.231,normal_study,0.22387,0.25658,0.24023
5.266,normal_study,0.23900,0.27025,0.25462
5.301,normal_study,0.23862,0.26872,0.25367
5.337,normal_study,0.23669,0.25955,0.24812
5.373,normal_study,0.23158,0.25513,0.24335
5.408,normal_study,0.22830,0.26190,0.24510
5.442,normal_study,0.22480,0.25921,0.24200
5.478,normal_study,0.22239,0.25396,0.23817
5.519,normal_study,0.22410,0.25726,0.24068
5.584,normal_study,0.22884,0.26724,0.24804
5.619,normal_study,0.22892,0.26699,0.24795
5.655,normal_study,0.23727,0.26926,0.25327
5.690,normal_study,0.22011,0.25951,0.23981
5.726,normal_study,0.22151,0.26453,0.24302
5.762,normal_study,0.23745,0.27056,0.25401
5.831,normal_study,0.23769,0.27804,0.25786
5.866,normal_study,0.23173,0.27569,0.25371
5.902,normal_study,0.24064,0.26956,0.25510
5.937,normal_study,0.23756,0.28333,0.26044
5.973,normal_study,0.23535,0.29069,0.26302
6.008,normal_study,0.23829,0.28770,0.26300
6.043,normal_study,0.24284,0.28037,0.26161
6.079,normal_study,0.23993,0.30292,0.27142
6.115,normal_study,0.24864,0.29895,0.27379
6.149,normal_study,0.23917,0.29621,0.26769
6.186,normal_study,0.24417,0.28821,0.26619
6.221,normal_study,0.23526,0.29677,0.26602
6.255,normal_study,0.23982,0.29201,0.26591
6.291,normal_study,0.24589,0.29589,0.27089
6.327,normal_study,0.23809,0.28686,0.26247
6.362,normal_study,0.24127,0.28236,0.26181
6.397,normal_study,0.24699,0.28659,0.26679
6.432,normal_study,0.24384,0.29098,0.26741
6.468,normal_study,0.25104,0.28664,0.26884
6.504,normal_study,0.25294,0.28848,0.27071
6.538,normal_study,0.24931,0.29211,0.27071
6.574,normal_study,0.24721,0.29157,0.26939
6.609,normal_study,0.25280,0.29654,0.27467
6.645,normal_study,0.23825,0.28496,0.26161
6.680,normal_study,0.24761,0.29336,0.27049
6.714,normal_study,0.24306,0.29453,0.26879
6.751,normal_study,0.24621,0.29476,0.27048
6.786,normal_study,0.24477,0.29436,0.26956
6.821,normal_study,0.24926,0.28848,0.26887
6.857,normal_study,0.24951,0.29610,0.27281
6.891,normal_study,0.25130,0.28770,0.26950
6.927,normal_study,0.25095,0.29417,0.27256
6.962,normal_study,0.25232,0.29006,0.27119
6.998,normal_study,0.23551,0.28218,0.25884
